"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","days_since_case100","days_since_death10"
"3015","Germany",2020-04-21,91,148291,1226,5033,171,95200,3700,48058,177,1.5,57.4,52,38
"3057","Ghana",2020-04-21,91,1042,0,9,0,99,0,934,3.4,0,3,27,0
"3114","Greece",2020-04-21,91,2401,156,121,5,577,308,1703,23,1.5,16.3,40,32
"3181","Grenada",2020-04-21,91,14,0,0,0,6,0,8,12.4,0,7.1,0,0
"3186","Guatemala",2020-04-21,91,294,5,7,0,24,3,263,1.6,0,1.5,12,0
"3244","Guinea",2020-04-21,91,688,66,6,1,127,5,555,5.2,0.5,4.2,18,0
"3283","Guinea-Bissau",2020-04-21,91,50,0,0,0,3,0,47,2.5,0,2.4,0,0
"3316","Guyana",2020-04-21,91,66,1,7,0,9,0,50,8.4,0.1,6.4,0,0
"3333","Haiti",2020-04-21,91,57,0,3,0,0,0,54,0.5,0,0.5,0,0
"3372","Holy See (Vatican City)",2020-04-21,91,9,0,0,0,2,0,7,900,0,700,0,0
"3421","Honduras",2020-04-21,91,494,17,46,0,29,4,419,5,0.2,4.2,24,21
"3523","Hong Kong",2020-04-21,91,1029,4,4,0,650,20,375,13.7,0.1,5,51,0
"3572","Hungary",2020-04-21,91,2098,114,213,14,287,20,1598,21.7,1.2,16.5,32,28
"3605","Iceland",2020-04-21,91,1778,5,10,0,1417,55,351,521.4,1.5,102.9,41,2
"3677","India",2020-04-21,91,20080,1541,645,53,3975,702,15460,1.5,0.1,1.1,39,30
"3744","Indonesia",2020-04-21,91,7135,375,616,26,842,95,5677,2.6,0.1,2.1,38,35
"3799","Iran (Islamic Republic of)",2020-04-21,91,84802,1297,5297,88,60965,1692,18540,101,1.5,22.1,56,58
"3853","Iraq",2020-04-21,91,1602,28,83,1,1096,53,423,4,0.1,1.1,40,39
"3941","Ireland",2020-04-21,91,16040,388,730,43,9233,9156,6077,324.8,7.9,123.1,39,27
"3997","Israel",2020-04-21,91,13942,229,184,7,4507,458,9251,161.1,2.6,106.9,41,26
"4071","Italy",2020-04-21,91,183957,2729,24648,534,51600,2723,107709,304.3,4.5,178.1,59,57
"4137","Jamaica",2020-04-21,91,223,0,6,1,27,0,190,7.5,0,6.4,7,0
"4220","Japan",2020-04-21,91,11135,338,263,27,1239,80,9633,8.8,0.3,7.6,61,44
"4234","Jordan",2020-04-21,91,428,3,7,0,297,15,124,4.2,0,1.2,31,0
"4315","Kazakhstan",2020-04-21,91,1995,143,19,0,489,42,1487,10.6,0.8,7.9,27,12
"4325","Kenya",2020-04-21,91,296,15,14,0,74,5,208,0.6,0,0.4,20,7
"4372","Kosovo",2020-04-21,91,510,0,12,0,93,0,405,28.3,0,22.5,22,6
"4406","Kuwait",2020-04-21,91,2080,85,11,2,412,45,1657,48.7,2,38.8,39,1
"4463","Kyrgyzstan",2020-04-21,91,590,22,7,0,216,15,367,9,0.3,5.6,22,0
"4504","Lao People's Democratic Republic",2020-04-21,91,19,0,0,0,2,0,17,0.3,0,0.2,0,0
